extract_date,date,mod_zcta,total_ed_visits,ili_pne_visits,ili_pne_admissions,pct_visits,pct_adm
2020-12-01,2020-03-01,10001,54,4,1,0.07407407407407407,0.25
2020-12-01,2020-03-01,10002,78,5,1,0.0641025641025641,0.2
2020-12-01,2020-03-01,10003,36,2,0,0.05555555555555555,0
2020-12-01,2020-03-01,10004,4,0,0,0,NaN
2020-12-01,2020-03-01,10005,2,0,0,0,NaN
2020-12-01,2020-03-01,10006,2,0,0,0,NaN
2020-12-01,2020-03-01,10007,5,0,0,0,NaN
2020-12-01,2020-03-01,10009,74,5,1,0.06756756756756757,0.2
2020-12-01,2020-03-01,10010,10,1,0,0.1,0
2020-12-01,2020-03-01,10011,40,3,1,0.075,0.3333333333333333
2020-12-01,2020-03-01,10012,6,0,0,0,NaN
2020-12-01,2020-03-01,10013,20,1,0,0.05,0
2020-12-01,2020-03-01,10014,14,1,0,0.07142857142857142,0
2020-12-01,2020-03-01,10016,82,4,0,0.04878048780487805,0
2020-12-01,2020-03-01,10017,9,1,1,0.1111111111111111,1
2020-12-01,2020-03-01,10018,12,0,0,0,NaN
2020-12-01,2020-03-01,10019,48,1,1,0.020833333333333332,1
2020-12-01,2020-03-01,10021,20,1,0,0.05,0
2020-12-01,2020-03-01,10022,17,0,0,0,NaN
2020-12-01,2020-03-01,10023,29,1,0,0.034482758620689655,0
2020-12-01,2020-03-01,10024,35,4,1,0.11428571428571428,0.25
2020-12-01,2020-03-01,10025,84,5,1,0.05952380952380952,0.2
2020-12-01,2020-03-01,10026,54,4,0,0.07407407407407407,0
2020-12-01,2020-03-01,10027,80,3,1,0.0375,0.3333333333333333
2020-12-01,2020-03-01,10028,19,1,0,0.05263157894736842,0
2020-12-01,2020-03-01,10029,157,8,2,0.050955414012738856,0.25
2020-12-01,2020-03-01,10030,52,4,1,0.07692307692307693,0.25
2020-12-01,2020-03-01,10031,73,3,1,0.0410958904109589,0.3333333333333333
2020-12-01,2020-03-01,10032,63,4,0,0.06349206349206349,0
2020-12-01,2020-03-01,10033,49,4,1,0.08163265306122448,0.25
2020-12-01,2020-03-01,10034,40,4,2,0.1,0.5
2020-12-01,2020-03-01,10035,99,7,1,0.0707070707070707,0.14285714285714285
2020-12-01,2020-03-01,10036,40,0,0,0,NaN
2020-12-01,2020-03-01,10037,33,5,1,0.15151515151515152,0.2
2020-12-01,2020-03-01,10038,30,1,1,0.03333333333333333,1
2020-12-01,2020-03-01,10039,49,3,0,0.061224489795918366,0
2020-12-01,2020-03-01,10040,28,3,2,0.10714285714285714,0.6666666666666666
2020-12-01,2020-03-01,10044,12,2,0,0.16666666666666666,0
2020-12-01,2020-03-01,10065,17,2,1,0.11764705882352941,0.5
2020-12-01,2020-03-01,10069,3,0,0,0,NaN
2020-12-01,2020-03-01,10075,24,0,0,0,NaN
2020-12-01,2020-03-01,10128,25,0,0,0,NaN
2020-12-01,2020-03-01,10280,3,0,0,0,NaN
2020-12-01,2020-03-01,10282,4,2,0,0.5,0
